活到老學到老,live till old learn till old,Huó dào lǎo xué dào lǎo
這是什麼?,what is this?,zhè shì shénme
那是什麼?,what is that?,nà shì shénme
...的中文怎麼說?,how do you say ... in Chinese?,... de zhōngwén zěnme shuō
...用中文怎麼說?,how do you say ... in Chinese?,... yòng zhōngwén zěnme shuō
...的中文是什麼?,what is ... in Chinese?,... de zhōngwén shì shénme
...用中文是什麼?,what is ... in Chinese?,... yòng zhōngwén shì shénme
我想了解你,I want to understand you,Wǒ xiǎng liǎojiě nǐ
,what does that mean?,
,can you say it slower?,
,you said that too fast,
,,
,who,
,what,
,when,
,where,
,how,
,,
,what is your favorite,
,,
