key,answer,alt,audio_prompt
a, to,,preposiciones/1.mp3
a veces, sometimes,,preposiciones/2.mp3
acabo de, I just,,preposiciones/3.mp3
acaba de, He/She/They just,,preposiciones/4.mp3
adiós / hasta luego, goodbye, lit.“until later”,preposiciones/5.mp3
al, to the,,preposiciones/6.mp3
así que, so / therefore,,preposiciones/7.mp3
aun/aún, even, “aun mas” even more,preposiciones/8.mp3
aunque, though/although/even if,,preposiciones/9.mp3
como, like / as,,preposiciones/10.mp3
con, with,,preposiciones/11.mp3
contra, against,,preposiciones/12.mp3
cuándo, when,,preposiciones/13.mp3
cuánto, how much?, quantity,preposiciones/14.mp3
de, from/of,,preposiciones/15.mp3
desde, from/since,,preposiciones/16.mp3
detrás, behind,,preposiciones/17.mp3
durante, during,,preposiciones/18.mp3
en, in / on,,preposiciones/19.mp3
entre, between,,preposiciones/20.mp3
es, it is,,preposiciones/21.mp3
es así, it is like that / it is that way,,preposiciones/22.mp3
esta mañana, this morning,,preposiciones/23.mp3
esta tarde, this afternoon,,preposiciones/24.mp3
hasta, until/up to,,preposiciones/25.mp3
hay, there is / there are,,preposiciones/26.mp3
hay que, one has to,,preposiciones/27.mp3
la semana que viene, next week,,preposiciones/28.mp3
le, you,,preposiciones/29.mp3
lo, it/he,,preposiciones/30.mp3
los estados unidos, the United States,,preposiciones/31.mp3
mientras, while,,preposiciones/32.mp3
ni, not even/neither/nor,,preposiciones/33.mp3
o, or,,preposiciones/34.mp3
para, for / in / to / in order to,,preposiciones/35.mp3
pero, but,,preposiciones/36.mp3
no es para mi, it is not for me,,preposiciones/37.mp3
no es para usted, it is not for you,,preposiciones/38.mp3
por, by / for / through, “por dia”,preposiciones/39.mp3
por lo menos, at least,,preposiciones/40.mp3
por que, why.,preposiciones/41.mp3
porque, because,,preposiciones/42.mp3
que, that/which,,preposiciones/43.mp3
qué, what (pronoun),,preposiciones/44.mp3
qué hay, what’s up? what’s the matter?,,preposiciones/45.mp3
quisiera, I would like / I may want / I might want,,preposiciones/46.mp3
según, according to/it depends/as,,preposiciones/47.mp3
si, if / conditional, si/pues,preposiciones/48.mp3
siempre que, provided that ...,,preposiciones/49.mp3
siquiera, even if / at least, (ni siquiera) not even,preposiciones/50.mp3
sin, without,,preposiciones/51.mp3
sino, but / rather / if not,,preposiciones/52.mp3
sobre, on / about / over,,preposiciones/53.mp3
suerte, luck,,preposiciones/54.mp3
tener ganas, to feel like,,preposiciones/55.mp3
todos los dias, everyday (all the days),,preposiciones/56.mp3
tras, after,,preposiciones/57.mp3
unos dias, a few days,,preposiciones/58.mp3
unos minutos, a few minutes,,preposiciones/59.mp3
vale, okay / worth / voucher, ¿cuánto vale?,preposiciones/60.mp3
y, and,,preposiciones/61.mp3
